Dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
mammographic,0.5037056552979192,0.24779763474572247,0.08111888111888112,0.9518072289156626,0.9506024096385542,0.3025595479754602,0.16987951807228915,0.1602409638554217,0.11265060240963855,0.44507330292307046,0.23253012048192767,0.14457831325301204,0.5024096385542168,0.9927101175787487,0.8317932768468325,0.25914207183610616,0.7255457779368419,0.006024096385542169,0.0012048192771084338,0.2,0.0006032139521229274,0.0016708340826947499
pbc,0.701059142221025,0.27265461805625457,0.034442025520726595,0.9456521739130435,0.7355072463768116,0.37136129149025293,0.3695652173913043,0.40217391304347827,0.17572463768115942,0.48698148624346316,0.35507246376811596,0.23550724637681159,0.6195652173913043,0.9861373660995589,0.9340184453227931,0.42680396959420797,0.7873904356061124,0.06159420289855073,0.007246376811594203,0.11764705882352941,0.027791943640024352,0.07373691397360038
pharynx-1year,0.7134768044755264,0.447581533390006,0.35714285714285715,0.9792746113989638,0.9740932642487047,0.36303630363036304,0.32124352331606215,0.48186528497409326,0.19689119170984457,0.5077381270803827,0.3937823834196891,0.27979274611398963,0.9015544041450777,0.9881070632768665,0.9892594991364422,0.7389094497902788,0.9460662527047461,0.046632124352331605,0.010362694300518135,0.2222222222222222,0.016348276429041908,0.04415857180362315
pharynx-3year,0.9549515513241016,0.5656541532261203,0.11428571428571428,0.9067357512953368,0.8808290155440415,0.10232558139534885,0.11398963730569948,0.11398963730569948,0.08549222797927461,0.8055655915306397,0.1917098445595855,0.11398963730569948,0.5647668393782384,0.9668447475100003,0.9837543177892919,0.7290936754667324,0.9493889002738126,0.046632124352331605,0.010362694300518135,0.2222222222222222,0.48816615265683705,0.7468797308662742
pharynx-status,0.9506120543087216,0.7285076615496521,0.3,0.9533678756476683,0.9481865284974094,0.2154471544715447,0.7202072538860104,0.27461139896373055,0.17357512953367876,0.6016099399165676,0.34196891191709844,0.26424870466321243,0.7979274611398963,0.9826840989019839,0.9882879965457686,0.8047166707788469,0.9349282200737149,0.046632124352331605,0.010362694300518135,0.2222222222222222,0.1519958459658307,0.3377660761301262
plasma-retinol,0.9433433862711418,0.7777595942410257,0.008363576855654961,0.9682539682539683,0.8888888888888888,0.296875,0.5015873015873016,0.41904761904761906,0.2523809523809524,0.5105988792894559,0.5174603174603174,0.40634920634920635,0.8666666666666667,0.993771730914588,0.9522798503690223,0.5258563908942672,0.8597623187645921,0.04126984126984127,0.009523809523809525,0.23076923076923078,0.017525913161359208,0.047251687560269984
schizo,0.9169329073482428,0.4609262824763731,0.035130440957041355,0.9196428571428571,0.4642857142857143,0.24728898520351972,0.2857142857142857,0.15178571428571427,0.20089285714285715,0.4961972733078425,0.4375,0.3125,0.8214285714285714,0.9767219387755102,0.870978120978121,0.34285671635848547,0.7197610296146062,0.11607142857142858,0.026785714285714284,0.23076923076923078,0.003683480441037945,0.01015228426395931
servo,0.4470663651460037,0.16931450885911514,0.0,0.2994011976047904,0.1437125748502994,0.023391812865497078,0.023952095808383235,0.017964071856287425,0.059880239520958084,0.6341516404217237,0.09580838323353291,0.017964071856287425,0.48502994011976047,0.8983470185377748,0.8813216939614746,0.41789132772671267,0.7508144918918942,0.023952095808383235,0.017964071856287425,0.75,0.22629308154065453,0.4578932817251866
student-g,0.7701197540937021,0.34434976662418876,0.6000000000000001,0.9770992366412213,0.9694656488549618,0.1985227956298294,0.25190839694656486,0.1984732824427481,0.1946564885496183,0.5005627869344766,0.3740458015267175,0.25190839694656486,0.9770992366412213,0.9814113396655206,0.9957721667645332,0.9705925118138858,0.9574117154954069,0.16030534351145037,0.11450381679389313,0.7142857142857143,0.015227971152754982,0.04120534185595259
student-mat,0.7592255122218877,0.42777356640782177,0.2571428571428571,0.959493670886076,0.9443037974683545,0.274248803820815,0.2911392405063291,0.3189873417721519,0.2088607594936709,0.511454916753021,0.4253164556962026,0.2582278481012658,0.9848101265822785,0.9936035891684025,0.9991646854719527,0.9695961422543701,0.9851593215539672,0.0759493670886076,0.030379746835443037,0.4,0.036937342637883064,0.09662937796591564
student-p,0.7119709881016772,0.23343609702254095,0.06666666666666665,0.9236641221374046,0.8396946564885496,0.1428701090933728,0.15267175572519084,0.16793893129770993,0.11450381679389313,0.6519717571465611,0.2595419847328244,0.11450381679389313,0.7709923664122137,0.9502942718955771,0.9957721667645332,0.966412213740458,0.9605195626313984,0.16030534351145037,0.11450381679389313,0.7142857142857143,0.2514280833288429,0.49372421662424293
student-por,0.6595984900252446,0.24115429270719474,0.6964285714285714,0.9969183359013868,0.9953775038520801,0.1575889879321937,0.14637904468412943,0.1263482280431433,0.11325115562403698,0.6610227850313667,0.2172573189522342,0.14791987673343607,0.9784283513097073,0.987421682284705,0.998982289942742,0.9579634113532418,0.9834945726584282,0.046224961479198766,0.026194144838212634,0.5666666666666667,0.2743892861195687,0.5246125015324798
thoracic,0.9409841618816623,0.5700583644443697,0.0,0.9234042553191489,0.8914893617021277,0.4262377015729833,0.7425531914893617,0.14893617021276595,0.10957446808510639,0.755113893753114,0.225531914893617,0.14680851063829786,0.5702127659574469,0.9855636034404708,0.876804427709477,0.35154336098614913,0.716858600699936,0.03404255319148936,0.00425531914893617,0.125,0.39282834512869713,0.6604002425712553
thyroid-v1,0.18097894437038803,0.0687403668715002,0.0,0.0,0.0,0.07806631500720951,0.07116104868913857,0.054307116104868915,0.04307116104868914,0.5594874076174968,0.0955056179775281,0.04868913857677903,0.27153558052434457,0.9710123581478208,0.8603340571002944,0.2150439011419878,0.6858982128195344,0.03932584269662921,0.020599250936329586,0.5238095238095238,0.10583467773673505,0.2503620076082955
tourism-23457vs01,0.7751453374046277,0.2667386599963772,0.0,0.8176795580110497,0.6988950276243094,0.06940874035989716,0.06906077348066299,0.06906077348066299,0.06077348066298342,0.8515888597775513,0.11325966850828728,0.07734806629834254,0.212707182320442,0.9574875614297488,0.9157955954148238,0.39112236299046244,0.8075661258659461,0.022099447513812154,0.0027624309392265192,0.125,0.6171921050411975,0.8398463091169857
tourism0,0.796620148985855,0.5002196947805994,0.11346603504371268,0.9696132596685083,0.93646408839779,0.4004279654879582,0.6270718232044199,0.2265193370165746,0.15607734806629833,0.6236746847378067,0.2928176795580111,0.2596685082872928,0.511049723756906,0.9886908214034981,0.9350790468465435,0.40454038686943283,0.8395259098600106,0.022099447513812154,0.0027624309392265192,0.125,0.21370331061660086,0.43909760106725104
tourism2,0.8755582683971631,0.24883137308829548,0.0,0.5165745856353591,0.281767955801105,0.034666666666666665,0.03591160220994475,0.03591160220994475,0.03591160220994475,0.9200855311286259,0.06077348066298338,0.03591160220994475,0.1298342541436464,0.9368456396324898,0.9092759523117185,0.38895674301074634,0.7954936043725814,0.022099447513812154,0.0027624309392265192,0.125,0.7767777656322721,0.92560465688284
traffic,0.9028641820365353,0.5539902441607802,0.0,0.9555555555555556,0.8148148148148148,0.3019374209094316,0.32592592592592595,0.28888888888888886,0.16666666666666666,0.5111147052178936,0.28148148148148144,0.35555555555555557,0.6,0.9762962962962963,0.8673300165837479,0.48276779459046915,0.7024158169250191,0.1259259259259259,0.014814814814814815,0.11764705882352941,0.02104036399522069,0.05641463154527038
veteran,0.7797819824018223,0.5451330949596241,0.14410487632665994,0.9051094890510949,0.8248175182481752,0.2388888888888889,0.6058394160583942,0.31386861313868614,0.17518248175182483,0.5650058601818435,0.3284671532846716,0.22627737226277372,0.6204379562043796,0.9770898822526507,0.9423572348647489,0.3974015230679536,0.8497930290669231,0.043795620437956206,0.021897810218978103,0.5,0.1024112492284377,0.2434253626579317
