Dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
creditscore,0.8414646362081756,0.349290194783757,0.3553847482511443,0.8549494949494949,0.9345839906174188,0.07560489453778806,0.27374779342198685,nan,0.0,nan,0.28,nan,0.0,nan,0.7396730231761801,0.3108634023685217,0.0320307849694389,nan,0.06000000000000005,nan,0.020000000000000018,nan,0.9349,0.36,0.38120505435312046,0.14717977513780736,0.2,0.4020151261036849,0.23,0.4229525846816507,0.34,0.06,0.01,0.16666666666666666
cryotherapy,0.9967916319816367,0.008849557522123908,0.3089405027044225,0.8684144818976279,0.8321654809882689,0.17753855506442637,0.12842259963825753,nan,0.06689688156803553,nan,0.7333333333333333,nan,0.05555555555555555,nan,0.7964129319023677,0.3207852534290751,0.0843859336084567,nan,0.0888888888888889,nan,0.011111111111111072,nan,0.928395061728395,0.32222222222222224,0.30601462032451654,0.1621901291234334,0.1111111111111111,0.31603030875998483,0.2222222222222222,0.41806880186893863,0.34444444444444444,0.06666666666666667,0.011111111111111112,0.16666666666666666
cyyoung,0.7736510483021695,0.45797539391323117,0.1783662693015441,0.8687943262411347,0.8607020155884499,0.08160878731763671,0.2414209333768057,nan,0.11761357633712295,nan,0.8359788359788359,nan,0.5079365079365079,nan,0.8213423154158562,0.3443623358502409,0.09687621571791838,nan,0.12698412698412698,nan,0.12169312169312174,nan,0.9611153103216595,0.30158730158730157,0.40776990943624464,0.12191385753488435,0.20634920634920634,0.40575894841000404,0.3544973544973545,0.479631270433935,0.42857142857142855,0.042328042328042326,0.010582010582010581,0.25
dmft-all,0.6327464078407788,0.6340443284182278,0.42134864441216024,0.8752009734998707,0.9925208943191614,0.008962369433616502,0.8628832042476913,nan,1.0,nan,1.0,nan,1.0,nan,0.6127275045967638,0.2813694492699073,0.13744588744585684,nan,0.15934755332496864,nan,0.15934755332496864,nan,0.9958533333123428,0.342534504391468,nan,nan,0.3437892095357591,0.4752700324581452,0.2584692597239649,0.43806812716892046,0.11543287327478043,0.005018820577164366,0.0037641154328732747,0.75
dmft-diet,0.6475889548139312,0.6180563865036147,0.4306945297058563,0.8774613342748876,0.9983498422842045,0.0029338773237521354,0.9279305429766266,nan,1.0,nan,1.0,nan,1.0,nan,0.6951081346153454,0.332265278755025,0.14208826695371657,nan,0.1656210790464241,nan,0.1656210790464241,nan,0.9961351303271837,0.33626097867001253,nan,nan,0.21831869510664995,0.41336428726272995,0.26474278544542035,0.44147319653071315,0.10915934755332497,0.005018820577164366,0.0037641154328732747,0.75
dmft-health,0.6236382528101507,0.6435997907346709,0.4324404327391229,0.8743750118219706,0.9976394493114118,0.004648061724908432,0.9006067991670337,nan,1.0,nan,1.0,nan,1.0,nan,0.6535379485426606,0.34399516917326267,0.1346362649293954,nan,0.1555834378920954,nan,0.1555834378920954,nan,0.9955526448775127,0.3751568381430364,nan,nan,0.30363864491844417,0.46011721241218567,0.24215809284818068,0.4286584894801378,0.12170639899623588,0.005018820577164366,0.0037641154328732747,0.75
dmft-mouth,0.7107483185701137,0.5437298969024895,0.4232670347122438,0.8827418144675699,0.9980652451733201,0.0022573671775430893,0.9432513446784268,nan,1.0,nan,1.0,nan,1.0,nan,0.7122160686089324,0.31166994888096183,0.1628151260504085,nan,0.19447929736511915,nan,0.19447929736511915,nan,0.9973441812065006,0.38268506900878296,nan,nan,0.2396486825595985,0.4271371062981765,0.3111668757841907,0.46326161629533236,0.12547051442910917,0.005018820577164366,0.0037641154328732747,0.75
Edu-Data-HvsL,0.9977558711449889,0.006199542611523001,0.45151139294313203,0.8256394606891194,0.7607515217430185,0.272864701166993,0.03146342407833304,nan,0.3314638265972646,nan,0.6579925650557621,nan,0.26394052044609667,nan,0.7466581214424264,0.3015090210448509,0.01633683805231445,nan,0.014869888475836479,nan,0.0074349442379182396,nan,0.882049722917041,0.07806691449814127,0.258549057144954,0.11535733183069193,0.03345724907063197,0.18016249670166457,0.2825278810408922,0.45106789144196047,0.20817843866171004,0.05947955390334572,0.01486988847583643,0.25
Edu-Data-HvsM,0.9722608611270416,0.07360284455437893,0.5399885430838633,0.8841907030646408,0.9519047293016953,0.05205190868768898,0.3005000027403859,nan,0.6735726527033387,nan,0.9801699716713881,nan,0.9518413597733711,nan,0.6877292873084906,0.2927135786528543,0.13298093782974185,nan,0.21813031161473084,nan,0.19830028328611893,nan,0.9874888651702526,0.45325779036827196,0.4242158804208976,0.12461053492955206,0.2719546742209632,0.44559826763751614,0.37677053824362605,0.48526444996750623,0.603399433427762,0.0453257790368272,0.0113314447592068,0.25
Edu-Data-MvsL,0.9549774125032462,0.1163396537510305,0.500078564384868,0.8660474426281319,0.8975766534979002,0.13574241535844478,0.14013442397964324,nan,0.49425414772937226,nan,0.878698224852071,nan,0.7751479289940828,nan,0.7998764353736898,0.295111532731575,0.08426160729710297,nan,0.09171597633136097,nan,0.056213017751479244,nan,0.9736528833024054,0.27514792899408286,0.3615119369182302,0.1390165525966701,0.16863905325443787,0.37498792844861967,0.2869822485207101,0.4530238721790151,0.3727810650887574,0.047337278106508875,0.011834319526627219,0.25
